drug,cor,p,n,fda_status
"carbamic acid, diethyldithio-, anhydrosulfide with metha...",0.49959837875525,0.00103024974457471,40,-
"Methyl 3-(5,5-dimethyl-4,5-dihydro-1,3-oxazol-2-yl)propanoate",0.41790396947169,0.00109794870817869,58,-
"Cubane-1,3,5,7-tetracarboxylic acid",0.4208388991808,0.00111535328275231,57,-
-,0.470025623904682,0.00112276128743609,45,-
-,0.413512522372621,0.00113264580884091,59,-
"(3Z)-3-[(5Z)-5-(dimethylcarbamothioylimino)-4-(4-methoxyphenyl)-1,2,4-dithiazolidin-3-ylidene]-1,1-dimethylthiourea",0.459584127569485,0.00115480516936329,47,-
ABL-001,0.416184607178249,0.00115669901816467,58,FDA approved
"N,N-dibenzyl-2-[(1R,5R,6R)-5-[tert-butyl(dimethyl)silyl]oxy-2-oxo-6-prop-2-enylcyclohex-3-en-1-yl]acetamide",0.415782683412315,0.00117083378310655,58,-
"(3Z)-3-[(5Z)-4-cyclohexyl-5-(dimethylcarbamothioylimino)-1,2,4-dithiazolidin-3-ylidene]-1,1-dimethylthiourea",0.449892506378818,0.00118165414328786,49,-
"7,8,9-trimethoxy-2,3-methylenedioxy-11h-indeno[1,2-c]iso...",0.46456213126104,0.00130494035549874,45,-
"13-[[4-(1,4,7,10-Tetraza-13lambda5-phosphatetracyclo[5.5.1.04,13.010,13]tridecan-13-ylsulfanylmethyl)phenyl]methylsulfanyl]-1,4,7,10-tetraza-13lambda5-phosphatetracyclo[5.5.1.04,13.010,13]tridecane",0.426305227190436,0.00130776108473752,54,-
-,0.41541470217399,0.00131178821478533,57,-
Cristatic acid,0.433639501609131,0.00132054391999208,52,-
"3,4-dihydroxy-2,2-dimethyl-5-methylidene-7-(2-methylpropyl)spiro[3a,4-dihydro-3H-indene-6,1'-cyclopropane]-1-one",0.425885413822515,0.00132381644551725,54,-
-,0.407334322504128,0.00136505164648782,59,-
-,0.406954893985339,0.00138062961343635,59,-
"8-[(2E)-2-(3-benzyl-4-oxo-1,3-thiazolidin-2-ylidene)hydrazinyl]-1,3,7-trimethylpurine-2,6-dione",0.424306728237533,0.00138578358125347,54,-
"tert-butyl N-[1-(benzenesulfonyl)-3-methyl-7-phenylmethoxy-3a,7a-dihydroindol-5-yl]-N-prop-2-enylcarbamate",0.425895442762541,0.00147513193673101,53,-
Imatinib,0.404647595441761,0.00147884220908444,59,FDA approved
"Tert-butyl N-[2-[[(5S,6E)-5-hydroxy-6-hydroxyimino-4,5-dihydrocyclopenta[b]thiophen-4-yl]amino]-2-oxoethyl]carbamate",0.42927635747216,0.00149522079555964,52,-
"2-[(E)-3,5-Dimethoxybenzylidene]-5,6-dimethoxyindan-1-one",0.403535619093474,0.0015283750319406,59,-
-,0.406184771842329,0.00155794752384212,58,-
Methyl ciliarate,0.406489932910909,0.00170323101789332,57,-
-,0.405032161230589,0.00177625802834082,57,-
2-(((2-Hydroxyethyl)(methyl)amino)methyl)-3-pyridinol,0.411509464371093,0.00180060747610848,55,-
"3-chloro-(2'-methyl-4'-n,n-bis-2'-cyanoethylamino)azoben...",0.465613224327547,0.00188780981653138,42,-
N-(2-Cyanoethyl)-N-(4-((phenylimino)methyl)phenyl)benzenesulfonamide,0.459560230570756,0.00193397477544368,43,-
N-(4-chlorophenyl)-2-(3-phenylquinoxalin-2-yl)sulfanylacetamide,0.400731126023644,0.00200830028778835,57,-
"benzo[c]phenanthridinium, 2,3,8,9-tetramethoxy-5-methyl-...",0.400713713693534,0.00200929220921062,57,-
1-cyclohexyl-3-[(E)-[phenyl(2-pyridyl)methylene]amino]urea,0.413683554448805,0.00207653354784713,53,-
-,0.442436242600144,0.00207853711385887,46,-
"5,6-dicyano-1,2,3,4-tetrakis(p-tolyl)7-thiabicyclo[2.2.1...",0.409965716038142,0.00207912850463234,54,-
-,0.395538728853359,0.00211817812921997,58,-
-,0.39512567799355,0.00214314424283769,58,-
2-[(2-Aminophenoxy)methyl]-5-(benzyloxy)-4h-pyran-4-one,0.423716574320123,0.00216786142429899,50,-
"benzoic acid, 2-chloro-4-[[(2-bromo-3,6-dioxo-1,4-cycloh...",0.397670899749144,0.00218949274536928,57,-
"11-Methyl-2-phenyl-1H-benzo[a]carbazole-1,4(11H)-dione",0.454218903380691,0.00221626405213051,43,-
-,0.464341651615853,0.00222610776362408,41,-
"N-(3-chloro-4-fluorophenyl)-4-(4-chlorophenyl)-6-methyl-2-oxo-3,4-dihydro-1H-pyrimidine-5-carboxamide",0.399724237036892,0.00227219536455767,56,-
"2-hydroxy-1-morpholin-4-ylmethyl-5-p-tolyl-11,12-dihydro...",0.409699799809459,0.00231530548083005,53,-
"Ethyl[(1-cyclohexyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)carbonyl]carbamate",0.436819443627045,0.00240377824211681,46,-
Solacongestidine,0.383268049476884,0.00250555446915519,60,-
bisbid,0.401391355250063,0.00262792868885054,54,-
"2-hydroxy-5-(4methoxyphenyl)-1-morpholin-4-ylmethyl-11,1...",0.40090502839447,0.00266259200833944,54,-
"2-[2-(4-Amino-5-sulfanylidene-1H-1,2,4-triazol-3-yl)hydrazinyl]-2-oxo-N-(2,4,5-trichlorophenyl)acetamide",0.437148957613794,0.0026764786555123,45,-
ARQ-087,0.387147665831283,0.00267971326729433,58,Clinical trial
"Diethyl 2-(3,4-dimethoxyphenyl)-1-((diphenylmethylene)amino)ethylphosphonate",0.414333807244235,0.00277706686738479,50,-
"(1R,9S,13R,16S)-6-(4-fluorophenyl)-9,13-dimethyl-5,6,7-triazapentacyclo[10.8.0.02,9.04,8.013,18]icosa-4,7,18-trien-16-ol",0.395774572420528,0.00278164469234974,55,-
Phenyl 6-[(acetyloxy)methyl]-2-oxo-2h-chromene-3-carboxylate,0.379417954132658,0.00279160221566924,60,-
"1-benzyl-3-(3-chloroanilino)-4-(4,6-dimethyl-2-pyrimidin...",0.388612280072057,0.00281419564558266,57,-
"(NE)-N-(3,4-diphenyl-1,3-thiazol-2-ylidene)-4-(3-thiophen-2-yl-3a,4-dihydro-3H-indeno[1,2-c]pyrazol-2-yl)benzenesulfonamide",0.40204784528656,0.00284325917117784,53,-
"(3Z)-5-Fluoro-3-(3,4,5-trimethoxybenzylidene)-1,3-dihydro-2H-indol-2-one",0.391420135439741,0.00285372344940605,56,-
"3,4-dihydro-3,3-dimethyl-2h-naphtho[2,3-b]pyran-5,10-dione",0.38311323186894,0.00299406605124238,58,-
-,0.381940653808475,0.00309136837506193,58,-
-,0.378799644215494,0.00309172553655206,59,-
-,0.381759603275713,0.00310663957216096,58,-
"10-Undecenyl 4,6-di-O-acetyl-2,3-dideoxyhex-2-enopyranoside",0.378202751383812,0.00314267939873903,59,-
"3,5-Dibromo-2-[5-(2,4-dibromo-6-carboxyphenoxy)-3-(2,4-dibromo-6-carboxyphenoxy)carbonyl-5-oxopentanoyl]oxybenzoic acid",0.41726328429049,0.00317192709945371,48,-
"2-((2-(4-Chlorophenyl)-4-oxo-4H-chromen-7-yl)oxy)-N-(2,6-dichlorophenyl)-2-methylpropanamide",0.444211756772143,0.00320844185254471,42,-
Milciclib,-0.379419493200299,0.00331013023587808,58,Clinical trial
"copper;2,4-dibromo-6-[(E)-[(2-hydroxybenzoyl)hydrazinylidene]methyl]phenolate",0.423773420446322,0.00333818214278243,46,-
"6-(3-aminopropyl)-5,6-dihbydro-3-nitro-5,11-dioxo-9-phen...",0.37559483740392,0.00337414912574743,59,-
"2-Methyl-1-(pentan-2-yl)-1H-naphtho[2,3-d]imidazole-4,9-dione",0.422245469073,0.00346618847785835,46,-
-,0.374075453879731,0.00351585999079671,59,-
-,0.380220093079145,0.003529220591839,57,-
"3-[(E)-4-(1,3-benzodioxol-5-yl)-2-oxobut-3-enyl]-1H-pyrido[2,3-b]pyrazin-2-one",0.380014085751266,0.00354862984410102,57,-
"2-(2,5-dimethoxybenzylidene)-1-tetralone",0.415693303663968,0.00366225345711121,47,-
n-(6-iodo-4-oxo-2-(2-thienyl)(3-hydroquinazolin-3-yl))(p...,0.388423289564588,0.0037027271946339,54,-
"2-N-(2-aminoethyl)-7-N-benzyl-6-chloro-4-pyrrolidin-1-ylpteridine-2,7-diamine",0.375088071789991,0.00371813552011326,58,-
"1-Chloro-9-[4-(diaminomethylideneamino)sulfonylanilino]-N-[4-[(4,6-dimethylpyrimidin-2-yl)sulfamoyl]phenyl]acridine-4-carboxamide",0.427296096279551,0.00381698425812289,44,-
phenylsulfanyl[?]one,0.379402258183869,0.00392878223208547,56,-
"N1-(7-chloro-1,2,3,4-tetrahydro-9-acridinyl)-N3,N3-dimethyl-1,3-propanediamine",0.369551319259122,0.00396952758312516,59,-
"pyrano[3,2-c]benzopyran-5-one, 4-(1,3-benzodioxol-5-yl)-...",0.366131584957592,0.00401460539964023,60,-
Tacacoside A2,-0.381808383851416,0.0040227757972948,55,-
-,0.366616894437537,0.00429074588808058,59,-
"10-Methoxy-2,3,7-triazatricyclo[6.3.1.04,12]dodeca-1(11),2,4(12),7,9-pentaen-11-ol;hydroiodide",0.396816163909671,0.00432940833166353,50,-
"5-[(Z)-(phenylhydrazinylidene)methyl]-1H-pyrimidine-2,4-dione",0.369245857422681,0.0043386301829519,58,-
-,0.36807402687581,0.00447354563321714,58,-
"4-methylbenzenesulfonic acid;1-propyl-3,6-dihydro-2H-pyridine",0.410500880912886,0.00460262385358182,46,-
-,0.366230670470157,0.00469326393769959,58,-
"2,6-Bis(4-hydroxy-3-(1-piperidinylmethyl)benzylidene)cyclohexanone",0.369080059896057,0.00472431412157852,57,-
"2-(4-Chloroanilino)-N-(1,4-dihydroxy-5-phthalazinyl)-4-methyl-1,3-thiazole-5-carboxamide",0.396336349778478,0.00481436557550544,49,-
-,0.359260493642468,0.00481643188345739,60,-
"4-amino-7H-pyrrolo[2,3-d]pyrimidine-5-carboxamide;hydrochloride",-0.371315232314967,0.0048400454815374,56,-
"8-Phenyl-7,8,9,10-tetrahydropyrimido[4,5-c]isoquinoline-1,3-diamine",0.3709432083522,0.00488610647034931,56,-
-,0.367382883157002,0.00493464949713377,57,-
-,0.360305122678873,0.00506042470342695,59,-
-,0.361072634930786,0.00535936929919912,58,-
5-(diethylaminomethyl)-N-(4-methylphenyl)thiophene-2-carbothioamide,0.376212200838497,0.00549718436328926,53,-
gw659386a,0.356354690239271,0.00560174948331946,59,-
Lestaurtinib,-0.358727462133715,0.0056887445501362,58,Clinical trial
"[3-[5-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-3-hydroxy-6-methyl-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] (3S,4aR,5R,6aS,6bR,10S,12aR)-10-[3-acetamido-6-[[4,5-dihydroxy-6-methyl-3-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxymethyl]-4,5-dihydroxyoxan-2-yl]oxy-3-[(2E,6S)-6-[3,4-dihydroxy-5-[(2E)-6-hydroxy-2-(hydroxymethyl)-6-methylocta-2,7-dienoyl]oxy-6-methyloxan-2-yl]oxy-2-(hydroxymethyl)-6-methylocta-2,7-dienoyl]oxy-5-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",-0.354295488593613,0.0059035851835668,59,-
"9-Hydroxy-6,8-dimethoxy-3,3-dimethyl-2,4-dihydroanthracen-1-one",0.362662312663315,0.00601609707808168,56,-
EU-0070102,0.398798479484072,0.00604632253477636,46,-
-,0.353097025454857,0.00608574410378515,59,-
Lomofungin,0.349615540902251,0.00617890743476414,60,-
"N-[3-[4-(3-aminopropyl)piperazin-1-yl]propyl]-11H-indolo[3,2-c]quinolin-6-amine",0.350789909068727,0.00645032652149962,59,-
5-Fluoro-2-(3-Ethoxy-4-hydroxyphenyl)benzothiazole,0.369513160798938,0.00646805677703672,53,-
(E)-3-(benzenesulfonyl)-4-(2-phenyl-1H-indol-3-yl)but-3-en-2-one,0.353432036967905,0.00649852854675115,58,-
"(z)3,4,5-trimethoxystilbene",0.383313921820298,0.00655532013687783,49,-
"5-[4-(4-Aminophenyl)butyl]-6-methyl-pyrimidine-2,4-diamine; sulfuric acid",0.386636146583949,0.00663680610538879,48,-
accel r,0.351768507278632,0.00677292542766481,58,-
-,0.351682471814718,0.00678738828328371,58,-
2-oxo-n-(pyridin-4-yl)-2-(1-tosyl-1h-indol-3-yl)acetamide,0.351413201179347,0.00683282822147135,58,-
"3-[2-[5-(p-metoksifenil)-1,3,4-oksadiazol-2-il]imino-4-t...",-0.352973895958868,0.00707823509029518,57,-
"tert-butyl-dimethyl-[[(1S,3S,4R,7R,10S)-5-(4-methylphenyl)sulfonyl-3-phenyl-2,5-diazatricyclo[5.2.1.04,10]decan-1-yl]methoxy]silane",0.347019803988606,0.00708732330837116,59,-
-,0.349835329712928,0.00710447886797741,58,-
5-(1-adamantyl)-2-benzyloxy-1H-benzimidazole,0.346688387157537,0.00714586213334734,59,-
-,0.346608192312649,0.00716009042398326,59,-
"benzo[c]phenanthridinium, 2,12-dihydroxy-3,8,9-trimethox...",0.355440343226679,0.00718204572199747,56,-
"Trimethyl 8,14,22-trioxahexacyclo[11.7.1.13,19.02,7.09,21.015,20]docosa-2,4,6,9,11,13(21),15(20),16,18-nonaene-5,11,17-tricarboxylate",0.343278074105461,0.00724834680357929,60,-
4-Chloro-6-(phenyldiazenyl)-2-pyrimidinamine,0.360837373060263,0.00735073764513196,54,-
(6-Methoxydioxan-3-yl)methanol,0.433331093587177,0.00738100883584027,37,-
-,0.348100114044253,0.00741406377040592,58,-
"Sangivamycin, 6-aminothio-",0.345199505350465,0.00741408882819948,59,-
"2-(4-Fluorophenyl)thieno[2,3-b]pyrrolizin-8-one",0.353930323088241,0.00744933618439176,56,-
"6-(2-(3,4-Dichlorophenyl)hydrazino)-3-methyl-2,4(1H,3H)-pyrimidinedione",0.350876990256939,0.00744982647128403,57,-
2-(1-(2-fluorophenylsulfonyl)-1h-indol-3-yl)-2-oxo-n-(py...,0.347847196170914,0.00746015646725451,58,-
4-Oxo-N-(6-(((4-oxo-4H-chromen-2-yl)carbonyl)amino)-2-pyridinyl)-4H-chromene-2-carboxamide,0.393436977027709,0.007500423079974,45,-
"n,n-bis(2-methyl-6-methoxy-4-quinaldyl)-1,9-diamino- non...",0.341803372584639,0.00751924047742866,60,-
"3-[(E)-1-(2-hydroxy-5-methoxy-phenyl)ethylideneamino]-1,1-dimethyl-thiourea",0.347277185474432,0.00756495493044737,58,-
-,0.35623197954393,0.00759873502206913,55,-
"N'-[3-(11H-indolo[3,2-c]quinolin-6-ylamino)propyl]-N'-methylpropane-1,3-diamine",0.343640998549756,0.00770423318078923,59,-
2'-Chloroflavanone,0.376261309360802,0.00770946397970158,49,-
4-[[3-Phenyl-7-(trifluoromethyl)quinoxalin-2-yl]methoxy]benzonitrile,0.355488639232445,0.00773478344528465,55,-
-,0.391617471738156,0.00780689883923308,45,-
Ethyl 3-[(4-fluorophenyl)methylamino]-6-(trifluoromethyl)quinoxaline-2-carboxylate,0.351553176684658,0.00788768934883523,56,-
"N-(4-Chlorophenyl)-4,6-dioxo-8-phenyl-7-octenamide",0.391076110679032,0.00790014842335575,45,-
-,0.378309685439493,0.00801941059030386,48,-
"(3Z)-3-[(5Z)-4-[4-(dimethylamino)phenyl]-5-(dimethylcarbamothioylimino)-1,2,4-dithiazolidin-3-ylidene]-1,1-dimethylthiourea",0.381194122473994,0.00820284155519684,47,-
"6-(3-amino-propyl)-2,3-dimethoxy-5,11-dioxo-5,11-dihydro...",0.362705133006797,0.00822778529336702,52,-
-,0.343726681933846,0.00824709357538942,58,-
-,0.377029582122451,0.00825268480120253,48,-
STK170335,0.373152447933335,0.00827173426203568,49,-
"Methyl 5-cyano-5-(2,4-dichlorophenyl)-4-oxopentanoate",0.411783199819268,0.00828974437323878,40,-
"N,N-Diethyl-N'-(7-methoxy-4-quinolinyl)-1,4-pentanediamine",-0.355630889856823,0.00831312619409296,54,-
-,0.339577939469736,0.00850767430609439,59,-
Tacacoside B1,-0.345348880307032,0.00851210697242463,57,-
"4-(4-Anilinopyrazolo[3,4-d]pyrimidin-1-yl)benzenesulfonamide",0.342348890701122,0.00852587515399972,58,-
py 40,0.378909929365762,0.0086277396891758,47,-
"(11as)-7-methoxy-8-(4-2-methoxy-4-[5-(3,4,5-trimethoxyph...",-0.338945538225903,0.00863906917102165,59,-
-,0.360173266998113,0.00872157775422852,52,-
"2-(4-Methoxyphenyl)-4-phenyl-5,7-dihydropyrido[3,2-d][1]benzazepin-6-one",0.34427098880493,0.00873391515505459,57,-
STL434863,0.335289504294971,0.00882430037303603,60,-
"(E)-5-(dimethylamino)-1-[4-[(E)-5-(dimethylamino)-4,4-dimethyl-3-oxopent-1-enyl]phenyl]-4,4-dimethylpent-1-en-3-one;hydrobromide",0.370238683533573,0.0088306001845434,49,-
2-[(9-Methylpentadecan-7-yl)amino]ethyl 4-nitrobenzoate,0.353041058978885,0.00883131890628621,54,-
"12-Ethyl-3-methyl-8-phenyl-2,4,5,9,10,12-hexazatetracyclo[11.4.0.02,6.07,11]heptadeca-1(17),3,5,7,10,13,15-heptaene",0.36305277303721,0.00883310516131249,51,-
"4,7-quinolinediamine, n4,n4'-1,7-heptanediylbis[2-methyl-",0.377508439091024,0.00889773877683897,47,-
"6,7-Dimethoxy-1-azatetracyclo[6.6.2.04,16.011,15]hexadeca-4,6,8(16),11(15)-tetraene-9,10-dione",0.349500831613665,0.0089101785020312,55,-
"(E)-N-hydroxy-N-[2-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl]octadec-9-enamide",0.377284736402689,0.00894150317616934,47,-
Paullone Analog 44,0.358946635060804,0.00896990309198321,52,-
(11as)-7-methoxy-8-4-[2-(2-thienyl)-1h-benzo[d]imidazol-...,-0.345889553799645,0.0090235890787301,56,-
"4-((4-Bromo-2-methylphenyl)diazenyl)-3-methyl-1,5-diphenyl-1H-pyrazole",0.371629565981979,0.00930250548433589,48,-
-,0.338620158823829,0.00932183177711466,58,-
Triazolothiadaizoles,0.341304843065911,0.00937040115462137,57,-
-,0.335535856963146,0.00937835313646707,59,-
-,0.337796202612226,0.00950617229251245,58,-
"9-Tert-butyl-4-(4-nitrophenyl)-4,20-diazapentacyclo[11.7.0.02,6.07,12.014,19]icosa-1(13),14,16,18-tetraene-3,5-dione",0.337626636809608,0.00954449849117375,58,-
"3-(2-Aminopyrimidin-4-yl)-2-methyl-1-phenylbenzo[f]indole-4,9-dione",0.363012707996896,0.00956944359636158,50,-
"pyrimidine-2-amine, 5-chloro-6-(2-hydroxy-5-chlorophenyl...",0.370322739754263,0.00957322523660864,48,-
Demethylnobiletin,0.34943540700003,0.00959928890539929,54,-
-,0.33667059128471,0.00976310723225285,58,-
"(1S,7R,8R,10S)-8-chloro-10-(4-nitrophenyl)sulfanyl-3,5-diphenyl-4-azatricyclo[5.2.1.02,6]deca-2,5-diene",0.348550505346974,0.00979636671101752,54,-
"5,7-Dichloro-3-hydroxy-3-(2-(4-hydroxyphenyl)-1-methyl-2-oxoethyl)-1,3-dihydro-2H-indol-2-one",0.408173158398602,0.00989303230310942,39,-
1-(2-methoxy-5-methylphenyl)-3-[(E)-(4-methoxyphenyl)methylideneamino]thiourea,0.353492457366853,0.0101496208154038,52,-
-,0.332182494909647,0.0101583901636135,59,-
-,-0.332039749562575,0.0101928063845233,59,-
1-[(E)-1-(2-hydroxy-5-methoxy-phenyl)ethylideneamino]-3-methyl-thiourea,0.337673954574084,0.0102039795412445,57,-
n'-cyclohexylidene-5-fluoro-3-phenyl-1h-indole-2-carbohy...,0.337464675792293,0.0102539227549504,57,-
"brefeldin a bis-(n,n-dimethylglycine) ester hydrochlorid...",-0.33665358033617,0.0104494902540249,57,-
"1-(4-Chlorobenzyl)-2-methyl-1H-naphtho[2,3-d]imidazole-4,9-dione",0.381185364027119,0.0106829643192588,44,-
"1-[11-(4-Methoxyphenyl)-13-methyl-15-thia-12,17-diazatetracyclo[8.7.0.02,7.012,16]heptadeca-1(10),2,4,6,13,16-hexaen-14-yl]ethanone",0.357481094126516,0.0108134047180346,50,-
N-benzyl-4-[[[(E)-3-naphthalen-2-ylprop-2-enoyl]amino]methyl]benzamide,0.347362351939614,0.0108207754547015,53,-
"2,5-Dimethyl-3,4-dibromothiophene 1-oxide",-0.335046424946851,0.0108465475757752,57,-
"4-[(E)-2-(6-ethoxyquinolin-2-yl)ethenyl]-N,N-dipropylaniline",0.329358361774933,0.0108583278098162,59,-
"3-(4-Chlorophenyl)-6-methyl-4-oxo-7-phenyl-pyrrolo[2,1-d][1,2,3,5]tetrazine-8-carbonitrile",0.329308881114742,0.0108709540108821,59,-
Benzylidenanthron,0.329285617155743,0.0108768947671906,59,-
"guanosine, 6-thio-, platinum complex (9ci)",0.367985429824508,0.0109328276376062,47,-
-,0.340003018473716,0.0110924311507311,55,-
-,0.336980446662867,0.0110975898719079,56,-
"4-Nitro-2-[(E)-(4-phenyl-1,3-thiazol-2-yl)iminomethyl]phenol",0.32831199968882,0.011128051875104,59,-
bredinin,0.379024988889554,0.0111728946408487,44,-
-,0.325158744321573,0.0112453267668171,60,-
